,FF4GK,FF4MA
1990-01-01,,
1990-02-01,-0.015,0.0067
1990-03-01,-0.0075806,0.0131
1990-04-01,-0.0174194,0.0331
1990-05-01,0.0,0.0316
1990-06-01,0.0,0.0434
1990-07-01,-0.0664516,-0.0566
1990-08-01,-0.0335484,0.0503
1990-09-01,0.0,0.0266
1990-10-01,-0.011281,-0.0034
1990-11-01,-0.0130424,0.0786
1990-12-01,-0.0956667,-0.0845
1991-01-01,-0.1674193,-0.0274
1991-02-01,-0.2304378,-0.1374
1991-03-01,-0.0363364,0.0412
1991-04-01,-0.0321398,-0.0888
1991-05-01,-0.1946344,0.0451
1991-06-01,-0.0090322,0.0308
1991-07-01,0.0087097,0.0408
1991-08-01,-0.0803226,-0.0318
1991-09-01,0.0016129,0.0264
1991-10-01,-0.0025806,0.0305
1991-11-01,-0.1374193,-0.0495
1991-12-01,-0.1206452,-0.1684
1992-01-01,-0.1493548,0.0344
1992-02-01,0.0,0.0344
1992-03-01,0.0,0.0132
1992-04-01,-0.1493334,-0.1868
1992-05-01,-0.0467997,0.0301
1992-06-01,0.0061229,0.0322
1992-07-01,-0.2903225,-0.2678
1992-08-01,-0.0054839,0.0192
1992-09-01,0.0148064,0.041
1992-10-01,0.0090646,0.041
1992-11-01,0.0019355,-0.0001
1992-12-01,-0.0029032,-0.0064
1993-01-01,-0.0070968,-0.0042
1993-02-01,-0.0178571,-0.0242
1993-03-01,-0.0021429,0.0083
1993-04-01,0.0,0.0083
1993-05-01,-0.0083871,-0.0232
1993-06-01,-0.0116129,-0.0049
1993-07-01,0.0,-0.0049
1993-08-01,0.0045161,0.0145
1993-09-01,0.0084839,0.0204
1993-10-01,0.007,0.0104
1993-11-01,0.0,-0.0063
1993-12-01,-0.0032258,-0.0472
1994-01-01,-0.0067742,-0.0275
1994-02-01,0.0,-0.0275
1994-03-01,0.0,0.0136
1994-04-01,0.052,0.1336
1994-05-01,0.0921935,0.0289
1994-06-01,0.0258064,0.0166
1994-07-01,0.0,0.0166
1994-08-01,0.0,0.0024
1994-09-01,-0.0039999,-0.0453
1994-10-01,-0.026,-0.0153
1994-11-01,0.0426667,0.0522
1994-12-01,0.0179784,-0.0546
1995-01-01,-0.0306451,0.0116
1995-02-01,0.0,0.0116
1995-03-01,0.0025806,0.0514
1995-04-01,0.0174193,0.0314
1995-05-01,0.0,0.0347
1995-06-01,0.0,0.0675
1995-07-01,-0.1258065,-0.0825
1995-08-01,-0.0241935,0.0244
1995-09-01,0.005,0.0615
1995-10-01,0.025,0.0315
1995-11-01,0.0,0.0101
1995-12-01,-0.0209677,-0.0159
1996-01-01,-0.0296774,0.0294
1996-02-01,-0.0193548,0.0494
1996-03-01,0.0019336,-0.0134
1996-04-01,0.0080564,-0.0234
1996-05-01,0.0,-0.002
1996-06-01,0.0,0.0007
1996-07-01,-0.0280645,-0.0293
1996-08-01,-0.0019355,0.0029
1996-09-01,-0.0303333,-0.1128
1996-10-01,-0.0996667,0.0172
1996-11-01,-0.006,0.0085
1996-12-01,-0.0088387,0.0092
1997-01-01,-0.0051613,0.0246
1997-02-01,0.0,0.0246
1997-03-01,0.0090322,0.0309
1997-04-01,0.0309677,-0.0091
1997-05-01,-0.0348387,-0.0616
1997-06-01,-0.0551615,0.0105
1997-07-01,-0.0193548,-0.0095
1997-08-01,0.0035484,0.0338
1997-09-01,0.0058064,0.0193
1997-10-01,0.0,0.0193
1997-11-01,0.0,0.0117
1997-12-01,-0.0051613,-0.0088
1998-01-01,-0.0048387,0.0148
1998-02-01,0.0,0.0148
1998-03-01,0.0,-0.0091
1998-04-01,0.0,-0.0091
1998-05-01,-0.0041935,0.0148
1998-06-01,-0.0058064,0.0154
1998-07-01,0.00999,0.0254
1998-08-01,0.0045161,-0.0055
1998-09-01,0.0101504,0.0726
1998-10-01,-0.0717633,-0.2474
1998-11-01,-0.1129031,0.0178
1998-12-01,0.0,-0.0112
1999-01-01,0.0,0.0156
1999-02-01,0.0,0.0156
1999-03-01,-0.0012903,-0.0273
1999-04-01,-0.0187097,-0.0073
1999-05-01,0.0180645,0.0332
1999-06-01,0.0196021,-0.0804
1999-07-01,-0.0676665,-0.0104
1999-08-01,0.003871,0.0157
1999-09-01,0.0111289,0.0032
1999-10-01,0.0348387,0.0432
1999-11-01,0.0351663,0.0811
1999-12-01,0.0282309,-0.0317
2000-01-01,-0.0032258,0.0066
2000-02-01,0.0048275,0.0116
2000-03-01,-0.0033724,-0.0101
2000-04-01,-0.0064452,-0.0001
2000-05-01,0.0361292,0.0618
2000-06-01,0.0323699,0.0031
2000-07-01,-0.013509,0.0181
2000-08-01,0.0016129,0.0268
2000-09-01,0.0033872,0.015
2000-10-01,0.023387,0.04
2000-11-01,0.0016129,0.0206
2000-12-01,-0.0020967,0.0223
2001-01-01,-0.1422579,-0.0475
2001-02-01,0.0193646,0.0724
2001-03-01,-0.0290322,-0.0448
2001-04-01,-0.2063012,-0.3398
2001-05-01,-0.2864408,-0.0783
2001-06-01,-0.0532258,0.0894
2001-07-01,0.0650001,0.0144
2001-08-01,-0.0070968,-0.0096
2001-09-01,-0.0129032,-0.0014
2001-10-01,-0.0387096,0.0151
2001-11-01,-0.1179571,-0.0849
2001-12-01,-0.0436559,0.0211
2002-01-01,-0.0083871,0.0407
2002-02-01,0.0187097,0.0207
2002-03-01,-0.0188708,-0.0676
2002-04-01,-0.026129,-0.0226
2002-05-01,-0.016129,0.0137
2002-06-01,-0.0055377,-0.0056
2002-07-01,-0.0083334,0.0044
2002-08-01,-0.0245161,-0.0301
2002-09-01,-0.0166504,-0.0127
2002-10-01,-0.0038333,0.0252
2002-11-01,-0.0708334,-0.0598
2002-12-01,-0.0070698,0.0299
2003-01-01,0.0058064,0.031
2003-02-01,0.0270967,0.001
2003-03-01,-0.0090322,0.0007
2003-04-01,-0.0109677,0.0133
2003-05-01,-0.0335484,-0.0267
2003-06-01,0.0145483,0.1253
2003-07-01,0.0840001,0.0203
2003-08-01,0.0,0.0039
2003-09-01,0.0,-0.0064
2003-10-01,-0.0012903,-0.0078
2003-11-01,-0.0087097,0.0022
2003-12-01,0.0037096,0.0002
2004-01-01,0.0019355,0.0033
2004-02-01,0.004355,-0.0017
2004-03-01,-0.0025806,-0.0143
2004-04-01,-0.0024195,-0.0123
2004-05-01,-0.0045161,-0.0173
2004-06-01,-0.0008171,-0.0436
2004-07-01,-0.0096667,-0.0336
2004-08-01,0.0283799,0.0134
2004-09-01,0.0082767,-0.0246
2004-10-01,-0.0066667,-0.0146
2004-11-01,-0.0069931,0.0098
2004-12-01,-0.0059001,-0.009
2005-01-01,-0.0020969,-0.0201
2005-02-01,0.0,-0.0201
2005-03-01,0.0032258,0.0066
2005-04-01,0.0067742,-0.0036
2005-05-01,0.0093548,0.0064
2005-06-01,0.0011451,0.009
2005-07-01,0.0145001,-0.006
2005-08-01,-0.0074193,-0.0401
2005-09-01,0.0084193,0.0566
2005-10-01,0.0190001,-0.0042
2005-11-01,0.0,-0.0042
2005-12-01,-0.0030646,-0.0045
2006-01-01,-0.0011289,0.0115
2006-02-01,0.0241935,-0.0135
2006-03-01,0.003871,0.0339
2006-04-01,0.026129,0.0039
2006-05-01,0.0248387,0.0372
2006-06-01,0.0084946,-0.0031
2006-07-01,-0.0233333,0.0219
2006-08-01,-0.0270967,-0.0118
2006-09-01,-0.0079031,0.0082
2006-10-01,-0.0011292,-0.0052
2006-11-01,-0.003871,-0.0002
2006-12-01,-0.0032258,0.0378
2007-01-01,-0.0019355,0.0223
2007-02-01,-0.0048387,0.0273
2007-03-01,-0.005326,-0.0004
2007-04-01,-0.0096838,0.0146
2007-05-01,0.0037096,0.0134
2007-06-01,0.0012903,-0.0009
2007-07-01,0.0,-0.0009
2007-08-01,0.0,-0.0138
2007-09-01,-0.0736668,-0.1641
2007-10-01,-0.0953655,0.0401
2007-11-01,0.0290322,0.0101
2007-12-01,0.0203228,0.0492
2008-01-01,-0.0390322,-0.217
2008-02-01,-0.2062905,0.038
2008-03-01,0.0338709,0.2229
2008-04-01,0.0386291,-0.0561
2008-05-01,-0.0725,0.0189
2008-06-01,0.003,-0.002
2008-07-01,0.0120001,0.0292
2008-08-01,-0.026129,-0.0008
2008-09-01,0.056129,0.1264
2008-10-01,0.0474272,-0.0473
2008-11-01,-0.0474172,0.0077
2008-12-01,-0.095489,-0.0928
2009-01-01,-0.0895209,0.0558
2009-02-01,0.0,0.0558
2009-03-01,-0.0045161,0.0263
2009-04-01,-0.0051508,0.0304
2009-05-01,0.0046668,0.0254
2009-06-01,0.0,0.0234
2009-07-01,0.0,0.0234
2009-08-01,-0.0032258,0.0326
2009-09-01,-0.0057743,-0.0255
2009-10-01,-0.0109999,0.0049
2009-11-01,-0.008991,-0.0051
2009-12-01,-0.0035796,-0.0165
2010-01-01,-0.0024195,
2010-02-01,0.0,
2010-03-01,-0.0051613,
2010-04-01,-0.0058386,
2010-05-01,-0.0090001,
2010-06-01,0.0,
2010-07-01,0.0,
2010-08-01,0.0,
2010-09-01,0.0016668,
2010-10-01,0.0033333,
2010-11-01,0.0046666,
2010-12-01,0.0003333,
2011-01-01,-0.0009677,
2011-02-01,-0.0040321,
2011-03-01,0.0,
2011-04-01,0.0,
2011-05-01,0.0,
2011-06-01,-0.0015001,
2011-07-01,-0.0035,
2011-08-01,-0.0037096,
2011-09-01,0.0053763,
2011-10-01,0.0133333,
2011-11-01,0.0096667,
2011-12-01,0.0003333,
2012-01-01,0.0,
2012-02-01,0.0,
2012-03-01,0.0,
2012-04-01,0.0,
2012-05-01,0.0,
2012-06-01,0.0036666,
